app,requested_times,finish_times,evicted_times,allocated_memory,best_model
app-1,79.101,344.316,,1500,1500
app-2,102.744,202.744,,1300.0,1300
app-4,108.089,208.089,,1600,1600
app-2,291.943,391.943,,1300.0,1300
app-3,310.155,410.155,,1500.0,1700
app-4,521.185,621.185,,1300,1600
app-1,533.735,633.735,,1500,1500
app-3,564.394,664.394,,1700.0,1700
app-3,683.762,783.762,,1700.0,1700
app-5,866.519,966.519,,1700,1700
app-4,887.068,1091.225,,1300,1600
app-2,933.406,1174.708,,1300.0,1300
app-5,1002.1859999999999,1102.186,,1700,1700
app-5,1161.317,1321.468,,1700,1700
app-3,1219.791,1382.119,,1700.0,1700
app-5,1344.837,1444.837,,1700,1700
app-1,,,933.406,100,1500
app-2,,,521.185,0.0,1300
app-2,,,1219.791,0.0,1300
app-3,,,866.519,0.0,1700
app-4,,,310.155,100,1600
app-4,,,1219.791,100,1600
