Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,totalCompletion%,URG_missed,BE_missed,consumed_energy%
0,1000,1000,0,0,24.5,24.2,48.7,0,513,50.65061222222212
1,1000,1000,0,0,27.700000000000003,24.5,52.2,0,478,52.06867999999994
2,1000,1000,0,0,26.6,20.3,46.900000000000006,0,531,50.210231111110936
3,1000,1000,0,0,29.4,20.0,49.4,0,506,51.897531111111086
4,1000,1000,0,0,21.4,27.400000000000002,48.8,0,512,51.40045777777769
5,1000,1000,0,0,28.799999999999997,19.5,48.3,0,517,50.6738255555553
6,1000,1000,0,0,25.8,18.7,44.5,0,555,50.29636111111113
7,1000,1000,0,0,32.800000000000004,16.6,49.400000000000006,0,506,50.9411188888889
8,1000,1000,0,0,26.400000000000002,20.3,46.7,0,533,49.636591111110896
9,1000,1000,0,0,20.1,27.0,47.1,0,529,50.04194666666666
10,1000,1000,0,0,32.1,16.0,48.1,0,519,50.44310555555519
11,1000,1000,0,0,31.0,26.1,57.1,0,429,53.642445555555355
12,1000,1000,0,0,27.900000000000002,24.0,51.900000000000006,0,481,52.23309333333328
13,1000,1000,0,0,33.800000000000004,19.2,53.0,0,470,52.192155555555544
14,1000,1000,0,0,31.5,13.5,45.0,0,550,50.109835555555506
15,1000,1000,0,0,25.900000000000002,15.4,41.300000000000004,0,587,48.27194111111115
16,1000,1000,0,0,29.5,28.4,57.9,0,421,53.112443333333346
17,1000,1000,0,0,24.5,19.7,44.2,0,558,48.966704444444254
18,1000,1000,0,0,34.599999999999994,20.4,54.99999999999999,0,450,52.69478444444442
19,1000,1000,0,0,33.0,15.9,48.9,0,511,51.395099999999886
20,1000,1000,0,0,28.7,19.0,47.7,0,523,50.22215111111088
21,1000,1000,0,0,30.7,19.900000000000002,50.6,0,494,51.35260999999998
22,1000,1000,0,0,32.800000000000004,22.2,55.0,0,450,52.77100888888886
23,1000,1000,0,0,28.9,26.400000000000002,55.3,0,447,53.01797666666677
24,1000,1000,0,0,25.3,23.799999999999997,49.099999999999994,0,509,51.13226888888883
25,1000,1000,0,0,31.5,16.7,48.2,0,518,51.14218777777767
26,1000,1000,0,0,40.8,12.0,52.8,0,472,51.818394444444316
27,1000,1000,0,0,26.1,15.9,42.0,0,580,47.91498666666648
28,1000,1000,0,0,29.799999999999997,13.700000000000001,43.5,0,565,50.03120888888872
29,1000,1000,0,0,25.8,28.499999999999996,54.3,0,457,52.31268222222203
