Episode,total_no_of_tasks,mapped,offloaded,cancelled,Completion%,xCompletion%,URG_missed,BE_missed,available_energy
0,1000,1000,0,0,1.3,15.6,0,831,40.5326388889
1,1000,1000,0,0,1.5,16.1,0,824,40.5545833333
2,1000,1000,0,0,1.9,14.1,0,840,40.5423205556
3,1000,1000,0,0,1.6,16.4,0,820,40.4583411111
4,1000,1000,0,0,2.8,13.7,0,835,40.47596
5,1000,1000,0,0,1.5,14.9,0,836,40.4226866667
6,1000,1000,0,0,1.9,15.3,0,828,40.6385783333
7,1000,1000,0,0,1.5,15.3,0,832,40.4646444444
8,1000,1000,0,0,1.7,16.5,0,818,40.5843088889
9,1000,1000,0,0,1.9,15.1,0,830,40.4878755556
10,1000,1000,0,0,2,15,0,830,40.3983333333
11,1000,1000,0,0,1.9,13.6,0,845,40.5817188889
12,1000,1000,0,0,1.8,17.3,0,809,40.4441477778
13,1000,1000,0,0,1.5,17,0,815,40.6574027778
14,1000,1000,0,0,1,16.3,0,827,40.4304588889
15,1000,1000,0,0,2.3,16.8,0,809,40.4779688889
16,1000,1000,0,0,1.3,15.2,0,835,40.4407288889
17,1000,1000,0,0,3.6,15.1,0,813,40.4643688889
18,1000,1000,0,0,2.2,14.8,0,830,40.6568722222
19,1000,1000,0,0,1,14.4,0,846,40.7262272222
20,1000,1000,0,0,1.9,14.2,0,839,40.6807077778
21,1000,1000,0,0,2.3,14.7,0,830,40.4784722222
22,1000,1000,0,0,1.9,15.8,0,823,40.5719538889
23,1000,1000,0,0,1.3,15.3,0,834,40.5464488889
24,1000,1000,0,0,1.9,14.9,0,832,40.754695
25,1000,1000,0,0,2.1,17.4,0,805,40.5817122222
26,1000,1000,0,0,1,16.2,0,828,40.49088
27,1000,1000,0,0,0.8,15.2,0,840,40.583715
28,1000,1000,0,0,2.2,14.6,0,832,40.4630511111
29,1000,1000,0,0,1.9,15,0,831,40.5805888889
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,1.7833333333,15.3933333333,,,
,,,,,,,,,
,,,,,17.1766666667,,,,
